"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"g__Hamadaea","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Hamadaea",NA,NA,"g__Hamadaea","bt_420"
"g__Paenibacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Paenibacillales","f__Paenibacillaceae","g__Paenibacillus",NA,NA,"g__Paenibacillus","bt_421"
"g__Ahniella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Ahniella",NA,NA,"g__Ahniella","bt_422"
"Unclass_f__Alcaligenaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","Unclass_f__Alcaligenaceae",NA,NA,"Unclass_f__Alcaligenaceae","bt_423"
"g__Candidatus Protochlamydia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Parachlamydiaceae","g__Candidatus Protochlamydia",NA,NA,"g__Candidatus Protochlamydia","bt_424"
"g__Klebsiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella",NA,NA,"g__Klebsiella","bt_425"
"g__Aurantisolimonas","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Aurantisolimonas",NA,NA,"g__Aurantisolimonas","bt_426"
"Unclass_p__FCPU426","k__Bacteria","p__FCPU426","c__","o__","f__","Unclass_p__FCPU426",NA,NA,"Unclass_p__FCPU426","bt_427"
"Unclass_f__Reyranellaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Reyranellales","f__Reyranellaceae","Unclass_f__Reyranellaceae",NA,NA,"Unclass_f__Reyranellaceae","bt_428"
"g__Rhodoblastus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Rhodoblastus",NA,NA,"g__Rhodoblastus","bt_429"
"Unclass_f__AKYG1722","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__AKYG1722","Unclass_f__AKYG1722",NA,NA,"Unclass_f__AKYG1722","bt_430"
"g__Intrasporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Intrasporangium",NA,NA,"g__Intrasporangium","bt_431"
"g__alphaI cluster","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__alphaI cluster",NA,NA,"g__alphaI cluster","bt_432"
"Unclass_p__Bacteroidota","k__Bacteria","p__Bacteroidota","c__","o__","f__","Unclass_p__Bacteroidota",NA,NA,"Unclass_p__Bacteroidota","bt_433"
"g__Candidatus Alysiosphaera","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Tistrellales","f__Geminicoccaceae","g__Candidatus Alysiosphaera",NA,NA,"g__Candidatus Alysiosphaera","bt_434"
"g__Hansschlegelia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylopilaceae","g__Hansschlegelia",NA,NA,"g__Hansschlegelia","bt_435"
"Unclass_p__WPS-2","k__Bacteria","p__WPS-2","c__","o__","f__","Unclass_p__WPS-2",NA,NA,"Unclass_p__WPS-2","bt_436"
"g__Pseudorhodoplanes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Pseudorhodoplanes",NA,NA,"g__Pseudorhodoplanes","bt_437"
"Unclass_f__AKIW781","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Kallotenuales","f__AKIW781","Unclass_f__AKIW781",NA,NA,"Unclass_f__AKIW781","bt_438"
"g__Aquabacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Aquabacterium",NA,NA,"g__Aquabacterium","bt_439"
"g__Chthonobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Pleomorphomonadaceae","g__Chthonobacter",NA,NA,"g__Chthonobacter","bt_440"
"g__Stackebrandtia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Stackebrandtia",NA,NA,"g__Stackebrandtia","bt_441"
"g__Sphingoaurantiacus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingoaurantiacus",NA,NA,"g__Sphingoaurantiacus","bt_442"
"g__Sporocytophaga","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cytophagaceae","g__Sporocytophaga",NA,NA,"g__Sporocytophaga","bt_443"
"g__Polycyclovorans","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Polycyclovorans",NA,NA,"g__Polycyclovorans","bt_444"
"g__Luteitalea","k__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Luteitalea",NA,NA,"g__Luteitalea","bt_445"
"g__Actinocorallia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Actinocorallia",NA,NA,"g__Actinocorallia","bt_446"
"g__Panacagrimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Panacagrimonas",NA,NA,"g__Panacagrimonas","bt_447"
"g__Microbacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium",NA,NA,"g__Microbacterium","bt_448"
"Unclass_o__S-BQ2-57 soil group","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__S-BQ2-57 soil group","f__","Unclass_o__S-BQ2-57 soil group",NA,NA,"Unclass_o__S-BQ2-57 soil group","bt_449"
"Unclass_f__Microtrichaceae","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__Microtrichaceae","Unclass_f__Microtrichaceae",NA,NA,"Unclass_f__Microtrichaceae","bt_450"
"Unclass_f__Planococcaceae","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","Unclass_f__Planococcaceae",NA,NA,"Unclass_f__Planococcaceae","bt_451"
"Unclass_f__37-13","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__37-13","Unclass_f__37-13",NA,NA,"Unclass_f__37-13","bt_452"
"Unclass_c__BD7-11","k__Bacteria","p__Planctomycetota","c__BD7-11","o__","f__","Unclass_c__BD7-11",NA,NA,"Unclass_c__BD7-11","bt_453"
"g__Fimbriiglobus","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","g__Fimbriiglobus",NA,NA,"g__Fimbriiglobus","bt_454"
"g__Shinella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Shinella",NA,NA,"g__Shinella","bt_455"
"g__Nitrosomonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__Nitrosomonas",NA,NA,"g__Nitrosomonas","bt_456"
"g__Hirschia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Hyphomonadaceae","g__Hirschia",NA,NA,"g__Hirschia","bt_457"
"g__Knoellia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Knoellia",NA,NA,"g__Knoellia","bt_458"
"g__Sporichthya","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Sporichthyaceae","g__Sporichthya",NA,NA,"g__Sporichthya","bt_459"
"Unclass_f__type III","k__Bacteria","p__Firmicutes","c__Bacilli","o__Entomoplasmatales","f__type III","Unclass_f__type III",NA,NA,"Unclass_f__type III","bt_460"
"g__Sandaracinus","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Sandaracinaceae","g__Sandaracinus",NA,NA,"g__Sandaracinus","bt_461"
"g__Variibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Variibacter",NA,NA,"g__Variibacter","bt_462"
"g__JGI 0001001-H03","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","g__JGI 0001001-H03",NA,NA,"g__JGI 0001001-H03","bt_463"
"Unclass_c__Bacteroidia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__","f__","Unclass_c__Bacteroidia",NA,NA,"Unclass_c__Bacteroidia","bt_464"
"g__Roseisolibacter","k__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Roseisolibacter",NA,NA,"g__Roseisolibacter","bt_465"
"Unclass_c__Anaerolineae","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__","f__","Unclass_c__Anaerolineae",NA,NA,"Unclass_c__Anaerolineae","bt_466"
"g__Candidatus Finniella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Paracaedibacterales","f__Paracaedibacteraceae","g__Candidatus Finniella",NA,NA,"g__Candidatus Finniella","bt_467"
"g__Parafrigoribacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Parafrigoribacterium",NA,NA,"g__Parafrigoribacterium","bt_468"
"Unclass_f__Methylophilaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","Unclass_f__Methylophilaceae",NA,NA,"Unclass_f__Methylophilaceae","bt_469"
"g__Cystobacter","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Cystobacter",NA,NA,"g__Cystobacter","bt_470"
"g__Sphaerobacter","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__Thermomicrobiaceae","g__Sphaerobacter",NA,NA,"g__Sphaerobacter","bt_471"
"Unclass_f__Caldilineaceae","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Caldilineales","f__Caldilineaceae","Unclass_f__Caldilineaceae",NA,NA,"Unclass_f__Caldilineaceae","bt_472"
"g__Glycomyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Glycomycetales","f__Glycomycetaceae","g__Glycomyces",NA,NA,"g__Glycomyces","bt_473"
"g__Quadrisphaera","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae","g__Quadrisphaera",NA,NA,"g__Quadrisphaera","bt_474"
"Unclass_f__SM2D12","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__SM2D12","Unclass_f__SM2D12",NA,NA,"Unclass_f__SM2D12","bt_475"
"Unclass_p__Firmicutes","k__Bacteria","p__Firmicutes","c__","o__","f__","Unclass_p__Firmicutes",NA,NA,"Unclass_p__Firmicutes","bt_476"
"Unclass_c__OLB14","k__Bacteria","p__Chloroflexi","c__OLB14","o__","f__","Unclass_c__OLB14",NA,NA,"Unclass_c__OLB14","bt_477"
"g__Stenotrophobacter","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","g__Stenotrophobacter",NA,NA,"g__Stenotrophobacter","bt_478"
"g__Neochlamydia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Parachlamydiaceae","g__Neochlamydia",NA,NA,"g__Neochlamydia","bt_479"
"g__Bdellovibrio","k__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bdellovibrionales","f__Bdellovibrionaceae","g__Bdellovibrio",NA,NA,"g__Bdellovibrio","bt_480"
"Unclass_f__Sulfuricellaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sulfuricellaceae","Unclass_f__Sulfuricellaceae",NA,NA,"Unclass_f__Sulfuricellaceae","bt_481"
"g__Taibaiella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Taibaiella",NA,NA,"g__Taibaiella","bt_482"
"Unclass_c__Lineage IIb","k__Bacteria","p__Elusimicrobiota","c__Lineage IIb","o__","f__","Unclass_c__Lineage IIb",NA,NA,"Unclass_c__Lineage IIb","bt_483"
"g__Pseudoflavitalea","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Pseudoflavitalea",NA,NA,"g__Pseudoflavitalea","bt_484"
"Unclass_f__Phycisphaeraceae","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","Unclass_f__Phycisphaeraceae",NA,NA,"Unclass_f__Phycisphaeraceae","bt_485"
"g__Sulfurifustis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Acidiferrobacterales","f__Acidiferrobacteraceae","g__Sulfurifustis",NA,NA,"g__Sulfurifustis","bt_486"
"Unclass_o__FFCH16767","k__Bacteria","p__Myxococcota","c__Polyangia","o__FFCH16767","f__","Unclass_o__FFCH16767",NA,NA,"Unclass_o__FFCH16767","bt_487"
"Unclass_o__Armatimonadales","k__Bacteria","p__Armatimonadota","c__Armatimonadia","o__Armatimonadales","f__","Unclass_o__Armatimonadales",NA,NA,"Unclass_o__Armatimonadales","bt_488"
"g__Glutamicibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Glutamicibacter",NA,NA,"g__Glutamicibacter","bt_489"
"g__Zoogloea","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Zoogloea",NA,NA,"g__Zoogloea","bt_490"
"g__Qipengyuania","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Qipengyuania",NA,NA,"g__Qipengyuania","bt_491"
"g__Sumerlaea","k__Bacteria","p__Sumerlaeota","c__Sumerlaeia","o__Sumerlaeales","f__Sumerlaeaceae","g__Sumerlaea",NA,NA,"g__Sumerlaea","bt_492"
"Unclass_c__Pla4 lineage","k__Bacteria","p__Planctomycetota","c__Pla4 lineage","o__","f__","Unclass_c__Pla4 lineage",NA,NA,"Unclass_c__Pla4 lineage","bt_493"
"g__Sphingobacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Sphingobacterium",NA,NA,"g__Sphingobacterium","bt_494"
"Unclass_c__BD2-11 terrestrial group","k__Bacteria","p__Gemmatimonadota","c__BD2-11 terrestrial group","o__","f__","Unclass_c__BD2-11 terrestrial group",NA,NA,"Unclass_c__BD2-11 terrestrial group","bt_495"
"g__Nitrobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Nitrobacter",NA,NA,"g__Nitrobacter","bt_496"
"Unclass_c__Parcubacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__","f__","Unclass_c__Parcubacteria",NA,NA,"Unclass_c__Parcubacteria","bt_497"
"Unclass_f__Simkaniaceae","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Simkaniaceae","Unclass_f__Simkaniaceae",NA,NA,"Unclass_f__Simkaniaceae","bt_498"
"g__Stenotrophomonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas",NA,NA,"g__Stenotrophomonas","bt_499"
"Unclass_o__MVP-88","k__Bacteria","p__Elusimicrobiota","c__Elusimicrobia","o__MVP-88","f__","Unclass_o__MVP-88",NA,NA,"Unclass_o__MVP-88","bt_500"
"g__Rhodocytophaga","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cytophagaceae","g__Rhodocytophaga",NA,NA,"g__Rhodocytophaga","bt_501"
"g__Bordetella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella",NA,NA,"g__Bordetella","bt_502"
"g__KD3-10","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__KD3-10",NA,NA,"g__KD3-10","bt_503"
"g__Geobacter","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__Geobacterales","f__Geobacteraceae","g__Geobacter",NA,NA,"g__Geobacter","bt_504"
"g__Nocardia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Nocardia",NA,NA,"g__Nocardia","bt_505"
"g__Crossiella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Crossiella",NA,NA,"g__Crossiella","bt_506"
"g__Rhodomicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodomicrobiaceae","g__Rhodomicrobium",NA,NA,"g__Rhodomicrobium","bt_507"
"Unclass_f__Vermiphilaceae","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__Vermiphilaceae","Unclass_f__Vermiphilaceae",NA,NA,"Unclass_f__Vermiphilaceae","bt_508"
"g__Peredibacter","k__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bacteriovoracales","f__Bacteriovoracaceae","g__Peredibacter",NA,NA,"g__Peredibacter","bt_509"
"g__Planotetraspora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Planotetraspora",NA,NA,"g__Planotetraspora","bt_510"
"g__Candidatus Omnitrophus","k__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus Omnitrophus",NA,NA,"g__Candidatus Omnitrophus","bt_511"
"g__Chishuiella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Weeksellaceae","g__Chishuiella",NA,NA,"g__Chishuiella","bt_512"
"g__SH-PL14","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Rubinisphaeraceae","g__SH-PL14",NA,NA,"g__SH-PL14","bt_513"
"g__Thermoleophilum","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Thermophilales","f__Thermoleophilaceae","g__Thermoleophilum",NA,NA,"g__Thermoleophilum","bt_514"
"g__Shimazuella","k__Bacteria","p__Firmicutes","c__Bacilli","o__Thermoactinomycetales","f__Thermoactinomycetaceae","g__Shimazuella",NA,NA,"g__Shimazuella","bt_515"
"g__YC-ZSS-LKJ147","k__Bacteria","p__Gemmatimonadota","c__Longimicrobia","o__Longimicrobiales","f__Longimicrobiaceae","g__YC-ZSS-LKJ147",NA,NA,"g__YC-ZSS-LKJ147","bt_516"
"g__Subtercola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Subtercola",NA,NA,"g__Subtercola","bt_517"
"g__Cnuella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Cnuella",NA,NA,"g__Cnuella","bt_518"
"Unclass_o__Myxococcales","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__","Unclass_o__Myxococcales",NA,NA,"Unclass_o__Myxococcales","bt_519"
"Unclass_f__bac2nit3","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__bac2nit3","Unclass_f__bac2nit3",NA,NA,"Unclass_f__bac2nit3","bt_520"
"g__Edaphobacter","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Edaphobacter",NA,NA,"g__Edaphobacter","bt_521"
"Unclass_o__Candidatus Magasanikbacteria","k__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus Magasanikbacteria","f__","Unclass_o__Candidatus Magasanikbacteria",NA,NA,"Unclass_o__Candidatus Magasanikbacteria","bt_522"
"g__Abditibacterium","k__Bacteria","p__Abditibacteriota","c__Abditibacteria","o__Abditibacteriales","f__Abditibacteriaceae","g__Abditibacterium",NA,NA,"g__Abditibacterium","bt_523"
"Unclass_o__Candidatus Staskawiczbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Staskawiczbacteria","f__","Unclass_o__Candidatus Staskawiczbacteria",NA,NA,"Unclass_o__Candidatus Staskawiczbacteria","bt_524"
"Unclass_f__Magnetospirillaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Magnetospirillaceae","Unclass_f__Magnetospirillaceae",NA,NA,"Unclass_f__Magnetospirillaceae","bt_525"
"g__wb1-P19","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Nitrosococcales","f__Nitrosococcaceae","g__wb1-P19",NA,NA,"g__wb1-P19","bt_526"
"Unclass_o__Kapabacteriales","k__Bacteria","p__Bacteroidota","c__Kapabacteria","o__Kapabacteriales","f__","Unclass_o__Kapabacteriales",NA,NA,"Unclass_o__Kapabacteriales","bt_527"
"g__Klenkia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Geodermatophilaceae","g__Klenkia",NA,NA,"g__Klenkia","bt_528"
"g__Jiangella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Jiangella",NA,NA,"g__Jiangella","bt_529"
"g__G12-WMSP1","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__G12-WMSP1",NA,NA,"g__G12-WMSP1","bt_530"
"Unclass_o__mle1-27","k__Bacteria","p__Myxococcota","c__Polyangia","o__mle1-27","f__","Unclass_o__mle1-27",NA,NA,"Unclass_o__mle1-27","bt_531"
"g__Terrabacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Terrabacter",NA,NA,"g__Terrabacter","bt_532"
"g__Spirochaeta 2","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Spirochaeta 2",NA,NA,"g__Spirochaeta 2","bt_533"
"Unclass_o__RBG-13-54-9","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__RBG-13-54-9","f__","Unclass_o__RBG-13-54-9",NA,NA,"Unclass_o__RBG-13-54-9","bt_534"
"g__Leptothrix","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Leptothrix",NA,NA,"g__Leptothrix","bt_535"
"Unclass_f__Burkholderiaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","Unclass_f__Burkholderiaceae",NA,NA,"Unclass_f__Burkholderiaceae","bt_536"
"g__Rhodococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus",NA,NA,"g__Rhodococcus","bt_537"
"g__Actinopolymorpha","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Actinopolymorpha",NA,NA,"g__Actinopolymorpha","bt_538"
"g__Chryseobacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Weeksellaceae","g__Chryseobacterium",NA,NA,"g__Chryseobacterium","bt_539"
"g__Rubrivivax","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax",NA,NA,"g__Rubrivivax","bt_540"
"Unclass_f__Geminicoccaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Tistrellales","f__Geminicoccaceae","Unclass_f__Geminicoccaceae",NA,NA,"Unclass_f__Geminicoccaceae","bt_541"
"Unclass_f__Longimicrobiaceae","k__Bacteria","p__Gemmatimonadota","c__Longimicrobia","o__Longimicrobiales","f__Longimicrobiaceae","Unclass_f__Longimicrobiaceae",NA,NA,"Unclass_f__Longimicrobiaceae","bt_542"
